National Health Expenditure (NHE) Amounts by Type of Expenditure and Source of Funds: Calendar Years 1960-2025 in PROJECTIONS format,,,,,,,,,,,
The projections are based on the 2015 version of the NHE released in December 2016.,,,,,,,,,,,
,,,,,,,,,,,
LEVELS in $Millions,,,,,,,,,,,
First projected year is 2016,,,,,,,,,,,
,,,,,,,,,,,
CATEGORY,Projections_Vintage,Historical_or_Projected_Data,YEAR,TOTAL,OUT_OF_POCKET,TOTAL_HEALTH_INSURANCE,PRIVATE_HEALTH_INSURANCE,MEDICARE,MEDICAID,OTHER_HEALTH_INSURANCE,OTHER_THIRD_PARTY
Research,02/15/2017,Historical,Y1963,1219,0,0,0,0,0,0,1219
Research,02/15/2017,Historical,Y1964,1366,0,0,0,0,0,0,1366
Research,02/15/2017,Historical,Y1965,1521,0,0,0,0,0,0,1521
Research,02/15/2017,Historical,Y1966,1624,0,0,0,0,0,0,1624
Research,02/15/2017,Historical,Y1967,1775,0,0,0,0,0,0,1775
Research,02/15/2017,Historical,Y1968,1877,0,0,0,0,0,0,1877
Research,02/15/2017,Historical,Y1969,1924,0,0,0,0,0,0,1924
Research,02/15/2017,Historical,Y1970,1953,0,0,0,0,0,0,1953
Research,02/15/2017,Historical,Y1971,2109,0,0,0,0,0,0,2109
Research,02/15/2017,Historical,Y1972,2357,0,0,0,0,0,0,2357
Research,02/15/2017,Historical,Y1973,2502,0,0,0,0,0,0,2502
Research,02/15/2017,Historical,Y1974,2767,0,0,0,0,0,0,2767
Research,02/15/2017,Historical,Y1975,3372,0,0,0,0,0,0,3372
Research,02/15/2017,Historical,Y1976,3707,0,0,0,0,0,0,3707
Research,02/15/2017,Historical,Y1977,3864,0,0,0,0,0,0,3864
Research,02/15/2017,Historical,Y1978,4438,0,0,0,0,0,0,4438
Research,02/15/2017,Historical,Y1979,4805,0,0,0,0,0,0,4805
Research,02/15/2017,Historical,Y1980,5429,0,0,0,0,0,0,5429
Research,02/15/2017,Historical,Y1981,5705,0,0,0,0,0,0,5705
Research,02/15/2017,Historical,Y1982,6025,0,0,0,0,0,0,6025
Research,02/15/2017,Historical,Y1983,6543,0,0,0,0,0,0,6543
Research,02/15/2017,Historical,Y1984,7608,0,0,0,0,0,0,7608
Research,02/15/2017,Historical,Y1985,8320,0,0,0,0,0,0,8320
Research,02/15/2017,Historical,Y1986,9002,0,0,0,0,0,0,9002
Research,02/15/2017,Historical,Y1987,10025,0,0,0,0,0,0,10025
Research,02/15/2017,Historical,Y1988,10836,0,0,0,0,0,0,10836
Research,02/15/2017,Historical,Y1989,11738,0,0,0,0,0,0,11738
Research,02/15/2017,Historical,Y1990,12678,0,0,0,0,0,0,12678
Research,02/15/2017,Historical,Y1991,13819,0,0,0,0,0,0,13819
Research,02/15/2017,Historical,Y1992,15091,0,0,0,0,0,0,15091
Research,02/15/2017,Historical,Y1993,16472,0,0,0,0,0,0,16472
Research,02/15/2017,Historical,Y1994,17758,0,0,0,0,0,0,17758
Research,02/15/2017,Historical,Y1995,18670,0,0,0,0,0,0,18670
Research,02/15/2017,Historical,Y1996,17808,0,0,0,0,0,0,17808
Research,02/15/2017,Historical,Y1997,19640,0,0,0,0,0,0,19640
Research,02/15/2017,Historical,Y1998,21512,0,0,0,0,0,0,21512
Research,02/15/2017,Historical,Y1999,23365,0,0,0,0,0,0,23365
Research,02/15/2017,Historical,Y2000,25475,0,0,0,0,0,0,25475
Research,02/15/2017,Historical,Y2001,28504,0,0,0,0,0,0,28504
Research,02/15/2017,Historical,Y2002,32016,0,0,0,0,0,0,32016
Research,02/15/2017,Historical,Y2003,34844,0,0,0,0,0,0,34844
Research,02/15/2017,Historical,Y2004,38578,0,0,0,0,0,0,38578
Research,02/15/2017,Historical,Y2005,40319,0,0,0,0,0,0,40319
Research,02/15/2017,Historical,Y2006,41163,0,0,0,0,0,0,41163
Research,02/15/2017,Historical,Y2007,42576,0,0,0,0,0,0,42576
Research,02/15/2017,Historical,Y2008,44278,0,0,0,0,0,0,44278
Research,02/15/2017,Historical,Y2009,45372,0,0,0,0,0,0,45372
Research,02/15/2017,Historical,Y2010,49214,0,0,0,0,0,0,49214
Research,02/15/2017,Historical,Y2011,49648,0,0,0,0,0,0,49648
Research,02/15/2017,Historical,Y2012,48421,0,0,0,0,0,0,48421
Research,02/15/2017,Historical,Y2013,46652,0,0,0,0,0,0,46652
Research,02/15/2017,Historical,Y2014,45869,0,0,0,0,0,0,45869
Research,02/15/2017,Historical,Y2015,46714,0,0,0,0,0,0,46714
Research,02/15/2017,Projected,Y2016,47898,0,0,0,0,0,0,47898
Research,02/15/2017,Projected,Y2017,49727,0,0,0,0,0,0,49727
Research,02/15/2017,Projected,Y2018,51939,0,0,0,0,0,0,51939
Research,02/15/2017,Projected,Y2019,54380,0,0,0,0,0,0,54380
Research,02/15/2017,Projected,Y2020,57051,0,0,0,0,0,0,57051
Research,02/15/2017,Projected,Y2021,59850,0,0,0,0,0,0,59850
Research,02/15/2017,Projected,Y2022,62786,0,0,0,0,0,0,62786
Research,02/15/2017,Projected,Y2023,65860,0,0,0,0,0,0,65860
Research,02/15/2017,Projected,Y2024,68993,0,0,0,0,0,0,68993
Research,02/15/2017,Projected,Y2025,72235,0,0,0,0,0,0,72235
Structures Expenditures,02/15/2017,Historical,Y1960,1479,0,0,0,0,0,0,1479
Structures Expenditures,02/15/2017,Historical,Y1961,1544,0,0,0,0,0,0,1544
Structures Expenditures,02/15/2017,Historical,Y1962,1918,0,0,0,0,0,0,1918
Structures Expenditures,02/15/2017,Historical,Y1963,1923,0,0,0,0,0,0,1923
Structures Expenditures,02/15/2017,Historical,Y1964,2340,0,0,0,0,0,0,2340
Structures Expenditures,02/15/2017,Historical,Y1965,2552,0,0,0,0,0,0,2552
Structures Expenditures,02/15/2017,Historical,Y1966,2559,0,0,0,0,0,0,2559
Structures Expenditures,02/15/2017,Historical,Y1967,2521,0,0,0,0,0,0,2521
Structures Expenditures,02/15/2017,Historical,Y1968,2986,0,0,0,0,0,0,2986
Structures Expenditures,02/15/2017,Historical,Y1969,3945,0,0,0,0,0,0,3945
Structures Expenditures,02/15/2017,Historical,Y1970,4524,0,0,0,0,0,0,4524
Structures Expenditures,02/15/2017,Historical,Y1971,5192,0,0,0,0,0,0,5192
Structures Expenditures,02/15/2017,Historical,Y1972,5686,0,0,0,0,0,0,5686
Structures Expenditures,02/15/2017,Historical,Y1973,5649,0,0,0,0,0,0,5649
Structures Expenditures,02/15/2017,Historical,Y1974,5978,0,0,0,0,0,0,5978
Structures Expenditures,02/15/2017,Historical,Y1975,6515,0,0,0,0,0,0,6515
Structures Expenditures,02/15/2017,Historical,Y1976,7071,0,0,0,0,0,0,7071
Structures Expenditures,02/15/2017,Historical,Y1977,6867,0,0,0,0,0,0,6867
Structures Expenditures,02/15/2017,Historical,Y1978,6970,0,0,0,0,0,0,6970
Structures Expenditures,02/15/2017,Historical,Y1979,7432,0,0,0,0,0,0,7432
Structures Expenditures,02/15/2017,Historical,Y1980,8585,0,0,0,0,0,0,8585
Structures Expenditures,02/15/2017,Historical,Y1981,9996,0,0,0,0,0,0,9996
Structures Expenditures,02/15/2017,Historical,Y1982,11567,0,0,0,0,0,0,11567
Structures Expenditures,02/15/2017,Historical,Y1983,12483,0,0,0,0,0,0,12483
Structures Expenditures,02/15/2017,Historical,Y1984,12199,0,0,0,0,0,0,12199
Structures Expenditures,02/15/2017,Historical,Y1985,11226,0,0,0,0,0,0,11226
Structures Expenditures,02/15/2017,Historical,Y1986,11106,0,0,0,0,0,0,11106
Structures Expenditures,02/15/2017,Historical,Y1987,12508,0,0,0,0,0,0,12508
Structures Expenditures,02/15/2017,Historical,Y1988,14438,0,0,0,0,0,0,14438
Structures Expenditures,02/15/2017,Historical,Y1989,14978,0,0,0,0,0,0,14978
Structures Expenditures,02/15/2017,Historical,Y1990,17047,0,0,0,0,0,0,17047
Structures Expenditures,02/15/2017,Historical,Y1991,16802,0,0,0,0,0,0,16802
Structures Expenditures,02/15/2017,Historical,Y1992,18342,0,0,0,0,0,0,18342
Structures Expenditures,02/15/2017,Historical,Y1993,19929,0,0,0,0,0,0,19929
Structures Expenditures,02/15/2017,Historical,Y1994,20837,0,0,0,0,0,0,20837
Structures Expenditures,02/15/2017,Historical,Y1995,20922,0,0,0,0,0,0,20922
Structures Expenditures,02/15/2017,Historical,Y1996,21635,0,0,0,0,0,0,21635
Structures Expenditures,02/15/2017,Historical,Y1997,23153,0,0,0,0,0,0,23153
Structures Expenditures,02/15/2017,Historical,Y1998,23746,0,0,0,0,0,0,23746
Structures Expenditures,02/15/2017,Historical,Y1999,25405,0,0,0,0,0,0,25405
Structures Expenditures,02/15/2017,Historical,Y2000,25374,0,0,0,0,0,0,25374
Structures Expenditures,02/15/2017,Historical,Y2001,26118,0,0,0,0,0,0,26118
Structures Expenditures,02/15/2017,Historical,Y2002,29258,0,0,0,0,0,0,29258
Structures Expenditures,02/15/2017,Historical,Y2003,30947,0,0,0,0,0,0,30947
Structures Expenditures,02/15/2017,Historical,Y2004,33063,0,0,0,0,0,0,33063
Structures Expenditures,02/15/2017,Historical,Y2005,36136,0,0,0,0,0,0,36136
Structures Expenditures,02/15/2017,Historical,Y2006,40735,0,0,0,0,0,0,40735
Structures Expenditures,02/15/2017,Historical,Y2007,46542,0,0,0,0,0,0,46542
Structures Expenditures,02/15/2017,Historical,Y2008,51675,0,0,0,0,0,0,51675
Structures Expenditures,02/15/2017,Historical,Y2009,46879,0,0,0,0,0,0,46879
Structures Expenditures,02/15/2017,Historical,Y2010,46104,0,0,0,0,0,0,46104
Structures Expenditures,02/15/2017,Historical,Y2011,47349,0,0,0,0,0,0,47349
Structures Expenditures,02/15/2017,Historical,Y2012,49533,0,0,0,0,0,0,49533
Structures Expenditures,02/15/2017,Historical,Y2013,50072,0,0,0,0,0,0,50072
Structures Expenditures,02/15/2017,Historical,Y2014,49357,0,0,0,0,0,0,49357
Structures Expenditures,02/15/2017,Historical,Y2015,48950,0,0,0,0,0,0,48950
Structures Expenditures,02/15/2017,Projected,Y2016,49367,0,0,0,0,0,0,49367
Structures Expenditures,02/15/2017,Projected,Y2017,50730,0,0,0,0,0,0,50730
Structures Expenditures,02/15/2017,Projected,Y2018,52964,0,0,0,0,0,0,52964
Structures Expenditures,02/15/2017,Projected,Y2019,55889,0,0,0,0,0,0,55889
Structures Expenditures,02/15/2017,Projected,Y2020,59080,0,0,0,0,0,0,59080
Structures Expenditures,02/15/2017,Projected,Y2021,62515,0,0,0,0,0,0,62515
Structures Expenditures,02/15/2017,Projected,Y2022,66164,0,0,0,0,0,0,66164
Structures Expenditures,02/15/2017,Projected,Y2023,69942,0,0,0,0,0,0,69942
Structures Expenditures,02/15/2017,Projected,Y2024,73936,0,0,0,0,0,0,73936
Structures Expenditures,02/15/2017,Projected,Y2025,78156,0,0,0,0,0,0,78156
Equipment Expenditures,02/15/2017,Historical,Y1960,334,0,0,0,0,0,0,334
Equipment Expenditures,02/15/2017,Historical,Y1961,377,0,0,0,0,0,0,377
Equipment Expenditures,02/15/2017,Historical,Y1962,442,0,0,0,0,0,0,442
Equipment Expenditures,02/15/2017,Historical,Y1963,535,0,0,0,0,0,0,535
Equipment Expenditures,02/15/2017,Historical,Y1964,558,0,0,0,0,0,0,558
Equipment Expenditures,02/15/2017,Historical,Y1965,592,0,0,0,0,0,0,592
Equipment Expenditures,02/15/2017,Historical,Y1966,671,0,0,0,0,0,0,671
Equipment Expenditures,02/15/2017,Historical,Y1967,767,0,0,0,0,0,0,767
Equipment Expenditures,02/15/2017,Historical,Y1968,850,0,0,0,0,0,0,850
Equipment Expenditures,02/15/2017,Historical,Y1969,957,0,0,0,0,0,0,957
Equipment Expenditures,02/15/2017,Historical,Y1970,1039,0,0,0,0,0,0,1039
Equipment Expenditures,02/15/2017,Historical,Y1971,1087,0,0,0,0,0,0,1087
Equipment Expenditures,02/15/2017,Historical,Y1972,1264,0,0,0,0,0,0,1264
Equipment Expenditures,02/15/2017,Historical,Y1973,1566,0,0,0,0,0,0,1566
Equipment Expenditures,02/15/2017,Historical,Y1974,1917,0,0,0,0,0,0,1917
Equipment Expenditures,02/15/2017,Historical,Y1975,2290,0,0,0,0,0,0,2290
Equipment Expenditures,02/15/2017,Historical,Y1976,2671,0,0,0,0,0,0,2671
Equipment Expenditures,02/15/2017,Historical,Y1977,3173,0,0,0,0,0,0,3173
Equipment Expenditures,02/15/2017,Historical,Y1978,3877,0,0,0,0,0,0,3877
Equipment Expenditures,02/15/2017,Historical,Y1979,4724,0,0,0,0,0,0,4724
Equipment Expenditures,02/15/2017,Historical,Y1980,5843,0,0,0,0,0,0,5843
Equipment Expenditures,02/15/2017,Historical,Y1981,7037,0,0,0,0,0,0,7037
Equipment Expenditures,02/15/2017,Historical,Y1982,8415,0,0,0,0,0,0,8415
Equipment Expenditures,02/15/2017,Historical,Y1983,9329,0,0,0,0,0,0,9329
Equipment Expenditures,02/15/2017,Historical,Y1984,10070,0,0,0,0,0,0,10070
Equipment Expenditures,02/15/2017,Historical,Y1985,10518,0,0,0,0,0,0,10518
Equipment Expenditures,02/15/2017,Historical,Y1986,10866,0,0,0,0,0,0,10866
Equipment Expenditures,02/15/2017,Historical,Y1987,11701,0,0,0,0,0,0,11701
Equipment Expenditures,02/15/2017,Historical,Y1988,13491,0,0,0,0,0,0,13491
Equipment Expenditures,02/15/2017,Historical,Y1989,15800,0,0,0,0,0,0,15800
Equipment Expenditures,02/15/2017,Historical,Y1990,17598,0,0,0,0,0,0,17598
Equipment Expenditures,02/15/2017,Historical,Y1991,19762,0,0,0,0,0,0,19762
Equipment Expenditures,02/15/2017,Historical,Y1992,21889,0,0,0,0,0,0,21889
Equipment Expenditures,02/15/2017,Historical,Y1993,22455,0,0,0,0,0,0,22455
Equipment Expenditures,02/15/2017,Historical,Y1994,22956,0,0,0,0,0,0,22956
Equipment Expenditures,02/15/2017,Historical,Y1995,23873,0,0,0,0,0,0,23873
Equipment Expenditures,02/15/2017,Historical,Y1996,25377,0,0,0,0,0,0,25377
Equipment Expenditures,02/15/2017,Historical,Y1997,27640,0,0,0,0,0,0,27640
Equipment Expenditures,02/15/2017,Historical,Y1998,29876,0,0,0,0,0,0,29876
Equipment Expenditures,02/15/2017,Historical,Y1999,31994,0,0,0,0,0,0,31994
Equipment Expenditures,02/15/2017,Historical,Y2000,32466,0,0,0,0,0,0,32466
Equipment Expenditures,02/15/2017,Historical,Y2001,32754,0,0,0,0,0,0,32754
Equipment Expenditures,02/15/2017,Historical,Y2002,35495,0,0,0,0,0,0,35495
Equipment Expenditures,02/15/2017,Historical,Y2003,37928,0,0,0,0,0,0,37928
Equipment Expenditures,02/15/2017,Historical,Y2004,39735,0,0,0,0,0,0,39735
Equipment Expenditures,02/15/2017,Historical,Y2005,43270,0,0,0,0,0,0,43270
Equipment Expenditures,02/15/2017,Historical,Y2006,43259,0,0,0,0,0,0,43259
Equipment Expenditures,02/15/2017,Historical,Y2007,49276,0,0,0,0,0,0,49276
Equipment Expenditures,02/15/2017,Historical,Y2008,52053,0,0,0,0,0,0,52053
Equipment Expenditures,02/15/2017,Historical,Y2009,46713,0,0,0,0,0,0,46713
Equipment Expenditures,02/15/2017,Historical,Y2010,47423,0,0,0,0,0,0,47423
Equipment Expenditures,02/15/2017,Historical,Y2011,52464,0,0,0,0,0,0,52464
Equipment Expenditures,02/15/2017,Historical,Y2012,55249,0,0,0,0,0,0,55249
Equipment Expenditures,02/15/2017,Historical,Y2013,56311,0,0,0,0,0,0,56311
Equipment Expenditures,02/15/2017,Historical,Y2014,55647,0,0,0,0,0,0,55647
Equipment Expenditures,02/15/2017,Historical,Y2015,59068,0,0,0,0,0,0,59068
Equipment Expenditures,02/15/2017,Projected,Y2016,60853,0,0,0,0,0,0,60853
Equipment Expenditures,02/15/2017,Projected,Y2017,63408,0,0,0,0,0,0,63408
Equipment Expenditures,02/15/2017,Projected,Y2018,66624,0,0,0,0,0,0,66624
Equipment Expenditures,02/15/2017,Projected,Y2019,70364,0,0,0,0,0,0,70364
Equipment Expenditures,02/15/2017,Projected,Y2020,74372,0,0,0,0,0,0,74372
Equipment Expenditures,02/15/2017,Projected,Y2021,78663,0,0,0,0,0,0,78663
Equipment Expenditures,02/15/2017,Projected,Y2022,83248,0,0,0,0,0,0,83248
Equipment Expenditures,02/15/2017,Projected,Y2023,87997,0,0,0,0,0,0,87997
Equipment Expenditures,02/15/2017,Projected,Y2024,93080,0,0,0,0,0,0,93080
Equipment Expenditures,02/15/2017,Projected,Y2025,98517,0,0,0,0,0,0,98517
